student_id,attendance_percent,assignment_score,internal_marks,study_hours_per_week,final_exam_marks
ST0069,91.0,69.4,64.3,15.9,75.0
ST0070,83.1,52.8,92.8,18.1,74.1
ST0071,99.3,96.3,39.1,14.3,68.1
ST0072,55.5,53.6,54.1,23.9,75.1
ST0073,52.3,77.8,76.1,19.5,88.5
ST0074,95.7,82.0,62.5,9.4,73.6
ST0075,93.5,82.0,57.3,9.7,62.2
ST0076,98.6,35.5,75.5,19.9,70.8
ST0077,92.7,76.3,80.9,7.9,81.0
ST0078,62.9,70.6,57.4,6.9,62.9
ST0079,53.4,87.7,42.8,22.1,35.8
ST0080,83.6,81.7,39.3,13.7,61.9
ST0081,89.7,38.4,76.5,6.0,50.1
ST0082,96.3,40.3,93.8,7.0,65.2
ST0083,69.6,76.4,73.7,3.7,64.3
ST0084,90.3,73.9,32.2,11.0,71.4
ST0085,61.3,95.5,30.7,24.3,62.4
ST0086,71.5,78.6,99.8,7.5,61.5
ST0087,56.9,44.6,42.9,24.3,68.9
ST0088,83.4,60.8,44.0,2.2,46.4
ST0089,69.4,,72.0,3.0,62.9
ST0090,65.2,62.4,32.6,4.1,41.6
ST0091,82.5,82.6,31.6,12.4,65.9
ST0092,69.1,86.4,94.1,6.0,72.8
ST0093,54.3,60.3,66.6,9.5,51.6
ST0094,98.4,72.0,80.6,14.0,74.9
ST0095,94.0,67.7,96.1,12.5,78.3
ST0096,54.2,86.5,81.2,14.5,63.4
ST0097,83.9,79.4,36.0,18.3,73.0
ST0098,65.8,42.6,74.4,17.1,67.3
ST0099,52.0,36.1,42.1,22.9,48.0
ST0100,67.4,95.1,89.4,20.1,89.7
ST0101,64.3,40.1,93.9,21.8,78.7
ST0102,66.2,35.4,41.1,5.8,45.6
ST0103,65.2,66.8,80.9,19.0,71.3
ST0104,90.1,56.5,64.8,11.9,69.0
ST0105,99.3,77.1,67.2,,72.1
ST0106,72.7,89.4,79.5,1.4,58.8
ST0107,54.4,98.1,88.7,18.2,77.5
ST0108,72.6,65.1,69.3,24.2,72.4
ST0109,63.9,99.2,31.9,13.9,59.2
ST0110,91.0,77.6,59.6,11.9,64.8
ST0111,65.8,76.2,31.1,2.9,62.6
ST0112,74.0,70.3,67.7,17.0,73.9
ST0113,85.5,58.5,54.8,20.1,66.2
ST0114,58.3,93.3,91.3,3.0,66.4
ST0115,93.2,44.9,33.7,2.1,40.2
ST0116,87.7,57.3,54.5,17.5,54.8
ST0117,87.4,,44.4,24.3,72.9
ST0118,63.9,79.2,84.1,23.0,58.2
ST0119,79.2,60.4,78.8,3.7,58.7
ST0120,80.7,62.0,81.4,4.5,67.6
ST0076,98.6,35.5,75.5,19.9,70.8
ST0050,74.4,56.4,82.8,13.9,72.9
ST0028,77.2,87.2,78.0,18.8,84.1
