student_id,attendance_percent,assignment_score,internal_marks,study_hours_per_week,final_exam_marks,internal_assessment_average,attendance_category,study_hour_group
ST0101,64.3,40.1,93.9,21.8,78.7,67.0,Medium,High
ST0102,66.2,35.4,41.1,5.8,45.6,38.25,Medium,Low
ST0103,65.2,66.8,80.9,19.0,71.3,73.85,Medium,Medium
ST0104,90.1,56.5,64.8,11.9,69.0,60.65,High,Medium
ST0105,99.3,77.1,67.2,,72.1,72.15,High,
ST0106,72.7,89.4,79.5,1.4,58.8,84.45,Medium,Low
ST0107,54.4,98.1,88.7,18.2,77.5,93.4,Low,Medium
ST0108,72.6,65.1,69.3,24.2,72.4,67.19999999999999,Medium,High
ST0109,63.9,99.2,31.9,13.9,59.2,65.55,Medium,Medium
ST0110,91.0,77.6,59.6,11.9,64.8,68.6,High,Medium
ST0111,65.8,76.2,31.1,2.9,62.6,53.650000000000006,Medium,Low
ST0112,74.0,70.3,67.7,17.0,73.9,69.0,Medium,Medium
ST0113,85.5,58.5,54.8,20.1,66.2,56.65,High,High
ST0114,58.3,93.3,91.3,3.0,66.4,92.3,Low,Low
ST0115,93.2,44.9,33.7,2.1,40.2,39.3,High,Low
ST0116,87.7,57.3,54.5,17.5,54.8,55.9,High,Medium
ST0117,87.4,67.35619834710744,44.4,24.3,72.9,55.87809917355372,High,High
ST0118,63.9,79.2,84.1,23.0,58.2,81.65,Medium,High
ST0119,79.2,60.4,78.8,3.7,58.7,69.6,High,Low
ST0120,80.7,62.0,81.4,4.5,67.6,71.7,High,Low
